Zeit;Kanal A;Kanal B
(ms);(V);(V)

-7,36587530;1,03795516;1,02337599
-7,34994730;1,03795516;1,02337599
-7,33401930;1,03795516;1,04072344
-7,31809130;1,03795516;1,04072344
-7,30216330;1,03795516;1,05807090
-7,28623530;1,03795516;1,05807090
-7,27030731;1,03795516;1,05807090
-7,25437931;1,03795516;1,05807090
-7,23845131;1,03795516;1,04072344
-7,22252331;1,03795516;1,02337599
-7,20659531;1,03795516;1,02337599
-7,19066731;1,03795516;1,02337599
-7,17473931;1,03795516;1,02337599
-7,15881131;1,03795516;1,04072344
-7,14288331;1,03795516;1,04072344
-7,12695531;1,03795516;1,04072344
-7,11102732;1,03795516;1,05807090
-7,09509932;1,03795516;1,05807090
-7,07917132;1,03795516;1,05807090
-7,06324332;1,03795516;1,04072344
-7,04731532;1,03795516;1,04072344
-7,03138732;1,03795516;1,02337599
-7,01545932;1,03795516;1,02337599
-6,99953132;1,03795516;1,02337599
-6,98360332;1,03795516;1,02337599
-6,96767533;1,03795516;1,02337599
-6,95174733;1,03795516;1,04072344
-6,93581933;1,03795516;1,04072344
-6,91989133;1,03795516;1,04072344
-6,90396333;1,03795516;1,05807090
-6,88803533;1,03795516;1,04072344
-6,87210733;1,03795516;1,04072344
-6,85617933;1,03795516;1,04072344
-6,84025133;1,03795516;1,04072344
-6,82432334;1,03795516;1,02337599
-6,80839534;1,03795516;1,02337599
-6,79246734;1,03795516;1,02337599
-6,77653934;1,03795516;1,04072344
-6,76061134;1,03795516;1,02337599
-6,74468334;1,03795516;1,04072344
-6,72875534;1,03795516;1,04072344
-6,71282734;1,03795516;1,04072344
-6,69689934;1,03795516;1,04072344
-6,68097135;1,03795516;1,04072344
-6,66504335;1,03795516;1,04072344
-6,64911535;1,03795516;1,02337599
-6,63318735;1,03795516;1,02337599
-6,61725935;1,03795516;1,04072344
-6,60133135;1,03795516;1,04072344
-6,58540335;1,03795516;1,04072344
-6,56947535;1,03795516;1,04072344
-6,55354735;1,03795516;1,04072344
-6,53761936;1,03795516;1,04072344
-6,52169136;1,03795516;1,04072344
-6,50576336;1,03795516;1,04072344
-6,48983536;1,03795516;1,04072344
-6,47390736;1,03795516;1,04072344
-6,45797936;1,03795516;1,04072344
-6,44205136;1,03795516;1,04072344
-6,42612336;1,03795516;1,04072344
-6,41019536;1,03795516;1,04072344
-6,39426737;1,03795516;1,04072344
-6,37833937;1,03795516;1,04072344
-6,36241137;1,03795516;1,04072344
-6,34648337;1,03795516;1,04072344
-6,33055537;1,03795516;1,04072344
-6,31462737;1,03795516;1,04072344
-6,29869937;1,03795516;1,04072344
-6,28277137;1,03795516;1,04072344
-6,26684337;1,03795516;1,04072344
-6,25091538;1,03795516;1,02337599
-6,23498738;1,03795516;1,04072344
-6,21905938;1,03795516;1,04072344
-6,20313138;1,03795516;1,04072344
-6,18720338;1,03795516;1,04072344
-6,17127538;1,03795516;1,04072344
-6,15534738;1,03795516;1,04072344
-6,13941938;1,03795516;1,04072344
-6,12349138;1,03795516;1,04072344
-6,10756339;1,03795516;1,04072344
-6,09163539;1,03795516;1,04072344
-6,07570739;1,03795516;1,04072344
-6,05977939;1,03795516;1,04072344
-6,04385139;1,03795516;1,04072344
-6,02792339;1,03795516;1,04072344
-6,01199539;1,03795516;1,04072344
-5,99606739;1,03795516;1,04072344
-5,98013939;1,03795516;1,04072344
-5,96421140;1,03795516;1,04072344
-5,94828340;1,03795516;1,04072344
-5,93235540;1,03795516;1,04072344
-5,91642740;1,03795516;1,04072344
-5,90049940;1,03795516;1,04072344
-5,88457140;1,03795516;1,04072344
-5,86864340;1,03795516;1,04072344
-5,85271540;1,03795516;1,04072344
-5,83678740;1,03795516;1,04072344
-5,82085941;1,03795516;1,04072344
-5,80493141;1,03795516;1,04072344
-5,78900341;1,03795516;1,04072344
-5,77307541;1,03795516;1,04072344
-5,75714741;1,03795516;1,04072344
-5,74121941;1,03795516;1,04072344
-5,72529141;1,03795516;1,04072344
-5,70936341;1,03795516;1,04072344
-5,69343541;1,03795516;1,04072344
-5,67750741;1,03795516;1,04072344
-5,66157942;1,03795516;1,04072344
-5,64565142;1,03795516;1,04072344
-5,62972342;1,03795516;1,04072344
-5,61379542;1,03795516;1,04072344
-5,59786742;1,03795516;1,04072344
-5,58193942;1,03795516;1,04072344
-5,56601142;1,03795516;1,04072344
-5,55008342;1,03795516;1,04072344
-5,53415542;1,03795516;1,04072344
-5,51822743;1,03795516;1,04072344
-5,50229943;1,03795516;1,04072344
-5,48637143;1,03795516;1,04072344
-5,47044343;1,03795516;1,04072344
-5,45451543;1,03795516;1,04072344
-5,43858743;1,03795516;1,04072344
-5,42265943;1,03795516;1,02337599
-5,40673143;1,03795516;1,04072344
-5,39080343;1,03795516;1,04072344
-5,37487544;1,03795516;1,04072344
-5,35894744;1,03795516;1,04072344
-5,34301944;1,03795516;1,04072344
-5,32709144;1,03795516;1,04072344
-5,31116344;1,03795516;1,04072344
-5,29523544;1,03795516;1,04072344
-5,27930744;1,03795516;1,04072344
-5,26337944;1,03795516;1,04072344
-5,24745144;1,03795516;1,04072344
-5,23152345;1,03795516;1,04072344
-5,21559545;1,03795516;1,04072344
-5,19966745;1,03795516;1,04072344
-5,18373945;1,03795516;1,04072344
-5,16781145;1,03795516;1,04072344
-5,15188345;1,03795516;1,04072344
-5,13595545;1,03795516;1,04072344
-5,12002745;1,03795516;1,04072344
-5,10409945;1,03795516;1,04072344
-5,08817146;1,03795516;1,04072344
-5,07224346;1,03795516;1,04072344
-5,05631546;1,03795516;1,04072344
-5,04038746;1,03795516;1,02337599
-5,02445946;1,03795516;1,04072344
-5,00853146;1,03795516;1,04072344
-4,99260346;0,01753199;1,00602853
-4,97667546;0,01753199;0,74581695
-4,96074746;0,01753199;0,29484499
-4,94481947;0,01753199;-0,22545521
-4,92889147;0,01753199;-0,65914124
-4,91296347;0,00000000;-0,88459647
-4,89703547;0,00000000;-0,86724901
-4,88110747;-0,01753199;-0,60709894
-4,86517947;-0,01753199;-0,20810777
-4,84925147;-0,01753199;0,24280265
-4,83332347;0,00000000;0,60709894
-4,81739547;0,00000000;0,78051180
-4,80146748;0,00000000;0,74581695
-4,78553948;0,01753199;0,48566684
-4,76961148;0,01753199;0,12137057
-4,75368348;0,01753199;-0,27749753
-4,73775548;0,00000000;-0,57240403
-4,72182748;0,00000000;-0,69383609
-4,70589948;0,00000000;-0,62444633
-4,68997148;-0,01753199;-0,38158217
-4,67404348;-0,01753199;-0,05198081
-4,65811549;-0,01753199;0,27749753
