Zeit;Kanal A
(ms);(mV)

-25,00970493;0,37278542
-25,00470493;0,00000000
-24,99970493;0,18639271
-24,99470493;0,00000000
-24,98970493;-0,74618596
-24,98470493;0,18639271
-24,97970493;0,00000000
-24,97470493;-0,37278542
-24,96970494;-0,74618596
-24,96470494;-0,37278542
-24,95970494;0,93319386
-24,95470494;-0,55979329
-24,94970494;0,55979329
-24,94470494;0,18639271
-24,93970494;0,18639271
-24,93470494;-0,37278542
-24,92970494;0,74618596
-24,92470494;-0,55979329
-24,91970494;0,18639271
-24,91470494;0,55979329
-24,90970494;-0,18639271
-24,90470494;1,30659437
-24,89970494;-0,18639271
-24,89470494;0,00000000
-24,88970494;-0,37278542
-24,88470494;0,18639271
-24,87970494;-0,37278542
-24,87470494;0,00000000
-24,86970494;0,37278542
-24,86470494;0,00000000
-24,85970494;0,18639271
-24,85470494;0,00000000
-24,84970494;0,55979329
-24,84470494;0,00000000
-24,83970494;0,18639271
-24,83470494;-0,74618596
-24,82970494;0,93319386
-24,82470494;0,00000000
-24,81970494;-0,18639271
-24,81470494;0,18639271
-24,80970494;0,18639271
-24,80470494;0,74618596
-24,79970494;0,00000000
-24,79470494;0,74618596
-24,78970494;-1,30659437
-24,78470494;0,55979329
-24,77970494;0,37278542
-24,77470494;-0,55979329
-24,76970494;0,00000000
-24,76470494;0,00000000
-24,75970494;0,55979329
-24,75470494;0,00000000
-24,74970494;0,55979329
-24,74470494;0,55979329
-24,73970494;0,00000000
-24,73470494;-0,18639271
-24,72970494;-0,74618596
-24,72470494;0,74618596
-24,71970494;0,37278542
-24,71470494;0,00000000
-24,70970494;1,11958659
-24,70470494;0,00000000
-24,69970494;0,37278542
-24,69470494;0,37278542
-24,68970494;-0,55979329
-24,68470494;-0,37278542
-24,67970494;0,00000000
-24,67470494;0,18639271
-24,66970494;-1,67999494
-24,66470494;0,37278542
-24,65970494;0,00000000
-24,65470494;0,00000000
-24,64970494;0,18639271
-24,64470494;-0,37278542
-24,63970494;0,18639271
-24,63470494;0,18639271
