Zeit;Kanal A
(ms);(mV)

-25,00965422;-16,33396912
-25,00465422;-16,33396912
-24,99965422;-14,93448448
-24,99465422;-16,33396912
-24,98965422;-16,33396912
-24,98465422;-14,93448448
-24,97965422;-14,93448448
-24,97465422;-14,46850300
-24,96965423;-14,46850300
-24,96465423;-14,93448448
-24,95965423;-14,00098324
-24,95465423;-14,46850300
-24,94965423;-14,46850300
-24,94465423;-13,53500175
-24,93965423;-14,46850300
-24,93465423;-13,53500175
-24,92965423;-14,46850300
-24,92465423;-14,00098324
-24,91965423;-14,00098324
-24,91465423;-14,46850300
-24,90965423;-15,86798668
-24,90465423;-14,93448448
-24,89965423;-15,40046692
-24,89465423;-15,86798668
-24,88965423;-16,33396912
-24,88465423;-16,80148888
-24,87965423;-16,33396912
-24,87465423;-16,33396912
-24,86965423;-17,73498917
-24,86465423;-16,33396912
-24,85965423;-16,33396912
-24,85465423;-15,40046692
-24,84965423;-14,93448448
-24,84465423;-16,33396912
-24,83965423;-14,46850300
-24,83465423;-14,46850300
-24,82965423;-12,13398075
-24,82465423;-13,53500175
-24,81965423;-13,06748199
-24,81465423;-13,06748199
-24,80965423;-13,53500175
-24,80465423;-12,13398075
-24,79965423;-12,60150051
-24,79465423;-12,60150051
-24,78965423;-13,06748199
-24,78465423;-13,06748199
-24,77965423;-13,53500175
-24,77465423;-13,06748199
-24,76965423;-13,06748199
-24,76465423;-14,00098324
-24,75965423;-14,00098324
-24,75465423;-14,46850300
-24,74965423;-14,46850300
-24,74465423;-14,46850300
-24,73965423;-14,00098324
-24,73465423;-14,46850300
-24,72965423;-14,93448448
-24,72465423;-14,93448448
-24,71965423;-14,00098324
-24,71465423;-14,00098324
-24,70965423;-14,93448448
-24,70465423;-14,46850300
-24,69965423;-15,86798668
-24,69465423;-14,93448448
-24,68965423;-14,46850300
-24,68465423;-14,46850300
-24,67965423;-14,00098324
-24,67465423;-14,46850300
-24,66965423;-14,00098324
-24,66465423;-13,53500175
-24,65965423;-13,53500175
-24,65465423;-12,60150051
