Zeit;Kanal A
(ms);(mV)

-25,00613542;0,00000000
-25,00113542;0,46598175
-24,99613542;0,00000000
-24,99113542;-0,46598175
-24,98613542;0,00000000
-24,98113542;0,46598175
-24,97613542;0,46598175
-24,97113542;0,46598175
-24,96613542;0,93196350
-24,96113542;0,00000000
-24,95613542;0,93196350
-24,95113542;0,93196350
-24,94613542;-0,46598175
-24,94113542;-0,46598175
-24,93613542;0,00000000
-24,93113542;0,46598175
-24,92613542;0,93196350
-24,92113542;0,46598175
-24,91613542;0,93196350
-24,91113542;0,46598175
-24,90613542;0,00000000
-24,90113542;0,46598175
-24,89613542;-0,46598175
-24,89113542;0,00000000
-24,88613542;0,46598175
-24,88113542;-0,46598175
-24,87613542;0,00000000
-24,87113542;0,46598175
-24,86613542;0,46598175
-24,86113542;-0,46598175
-24,85613542;0,46598175
-24,85113542;0,00000000
-24,84613542;-1,39948320
-24,84113542;-0,46598175
-24,83613542;0,00000000
-24,83113542;-0,46598175
-24,82613542;0,46598175
-24,82113542;0,00000000
-24,81613542;0,46598175
-24,81113542;0,00000000
-24,80613542;0,93196350
-24,80113542;0,00000000
-24,79613542;0,00000000
-24,79113542;0,93196350
-24,78613542;0,00000000
-24,78113542;0,46598175
-24,77613542;0,00000000
-24,77113542;-0,93196350
-24,76613542;0,00000000
-24,76113542;0,00000000
-24,75613542;-0,46598175
-24,75113542;0,93196350
-24,74613542;0,46598175
-24,74113542;-0,46598175
-24,73613542;-1,39948320
-24,73113542;0,46598175
-24,72613542;-0,93196350
-24,72113542;0,46598175
-24,71613542;0,00000000
-24,71113542;0,00000000
-24,70613542;0,00000000
-24,70113542;1,86546493
-24,69613542;0,46598175
-24,69113542;0,46598175
-24,68613542;0,46598175
-24,68113542;0,00000000
-24,67613542;0,46598175
-24,67113542;0,46598175
-24,66613542;-0,46598175
-24,66113542;-2,33298445
-24,65613542;0,00000000
-24,65113542;0,00000000
-24,64613542;0,46598175
-24,64113542;0,00000000
-24,63613542;0,00000000
-24,63113542;-0,46598175
