Zeit;Kanal A
(ms);(mV)

-25,00687405;7,46647358
-25,00187405;7,00049162
-24,99687405;8,39997482
-24,99187405;7,93399334
-24,98687405;8,86749458
-24,98187405;8,86749458
-24,97687405;8,86749458
-24,97187405;9,33347607
-24,96687405;9,33347607
-24,96187405;10,26697731
-24,95687405;10,73449707
-24,95187405;11,66799831
-24,94687405;11,66799831
-24,94187405;11,20047951
-24,93687405;11,66799831
-24,93187405;11,20047951
-24,92687405;10,73449707
-24,92187405;11,20047951
-24,91687405;11,66799831
-24,91187405;11,66799831
-24,90687405;10,73449707
-24,90187405;11,20047951
-24,89687405;11,20047951
-24,89187405;10,73449707
-24,88687405;10,73449707
-24,88187405;11,20047951
-24,87687405;10,26697731
-24,87187406;11,66799831
-24,86687406;13,53500175
-24,86187406;12,60150051
-24,85687406;12,13398075
-24,85187406;11,66799831
-24,84687406;12,60150051
-24,84187406;12,60150051
-24,83687406;13,06748199
-24,83187406;13,53500175
-24,82687406;13,06748199
-24,82187406;13,06748199
-24,81687406;14,00098324
-24,81187406;12,13398075
-24,80687406;12,60150051
-24,80187406;12,60150051
-24,79687406;11,20047951
-24,79187406;11,20047951
-24,78687406;11,20047951
-24,78187406;11,20047951
-24,77687406;10,26697731
-24,77187406;9,33347607
-24,76687406;9,33347607
-24,76187406;9,80099583
-24,75687406;8,39997482
-24,75187406;8,39997482
-24,74687406;7,46647358
-24,74187406;7,46647358
-24,73687406;6,53297186
-24,73187406;7,46647358
-24,72687406;7,00049162
-24,72187406;6,53297186
-24,71687406;6,06699038
-24,71187406;6,06699038
-24,70687406;7,00049162
-24,70187406;5,13348866
-24,69687406;6,06699038
-24,69187406;6,53297186
-24,68687406;6,06699038
-24,68187406;6,53297186
-24,67687406;6,53297186
-24,67187406;7,00049162
-24,66687406;7,46647358
-24,66187406;7,93399334
-24,65687406;6,06699038
-24,65187406;7,93399334
-24,64687406;7,93399334
-24,64187406;7,93399334
-24,63687406;7,93399334
-24,63187406;7,46647358
-24,62687406;7,00049162
