Zeit;Kanal A
(ms);(mV)

-25,00601468;0,18639271
-25,00101468;-0,55979329
-24,99601468;-0,37278542
-24,99101468;0,18639271
-24,98601468;0,18639271
-24,98101468;0,18639271
-24,97601468;-0,37278542
-24,97101468;-0,55979329
-24,96601468;0,00000000
-24,96101468;0,18639271
-24,95601468;0,55979329
-24,95101468;0,93319386
-24,94601468;0,00000000
-24,94101468;0,18639271
-24,93601468;0,00000000
-24,93101468;-0,37278542
-24,92601468;0,74618596
-24,92101468;0,55979329
-24,91601468;0,37278542
-24,91101468;0,18639271
-24,90601468;0,55979329
-24,90101468;0,55979329
-24,89601468;0,55979329
-24,89101468;0,74618596
-24,88601468;-0,74618596
-24,88101468;-0,37278542
-24,87601468;1,49298716
-24,87101468;-0,74618596
-24,86601468;-0,18639271
-24,86101468;-0,74618596
-24,85601468;0,55979329
-24,85101468;0,00000000
-24,84601468;-0,37278542
-24,84101468;0,18639271
-24,83601468;0,55979329
-24,83101468;0,93319386
-24,82601468;0,00000000
-24,82101468;0,18639271
-24,81601468;-0,18639271
-24,81101468;0,74618596
-24,80601468;0,18639271
-24,80101468;0,55979329
-24,79601468;0,55979329
-24,79101468;0,93319386
-24,78601468;0,00000000
-24,78101468;-0,18639271
-24,77601468;0,00000000
-24,77101468;-0,18639271
-24,76601468;0,00000000
-24,76101468;-0,37278542
-24,75601468;0,00000000
-24,75101468;0,18639271
-24,74601468;0,00000000
-24,74101468;0,00000000
-24,73601468;0,18639271
-24,73101468;0,18639271
-24,72601468;1,11958659
-24,72101468;0,18639271
-24,71601468;0,00000000
-24,71101468;0,18639271
-24,70601468;0,00000000
-24,70101468;0,18639271
-24,69601468;-1,67999494
-24,69101468;0,74618596
-24,68601468;-0,55979329
-24,68101468;-0,37278542
-24,67601469;0,00000000
-24,67101469;-0,37278542
-24,66601469;0,55979329
-24,66101469;1,49298716
-24,65601469;-0,55979329
-24,65101469;0,00000000
-24,64601469;0,00000000
-24,64101469;0,55979329
-24,63601469;0,18639271
-24,63101469;-0,18639271
