Zeit;Kanal A
(ms);(mV)

-25,00666572;2,33298445
-25,00166572;1,86546493
-24,99666572;2,33298445
-24,99166572;2,79896641
-24,98666572;3,73246789
-24,98166572;2,79896641
-24,97666572;0,93196350
-24,97166572;0,93196350
-24,96666572;3,26648593
-24,96166572;1,39948320
-24,95666572;1,39948320
-24,95166572;1,86546493
-24,94666572;1,39948320
-24,94166572;1,86546493
-24,93666572;2,33298445
-24,93166572;2,79896641
-24,92666572;1,86546493
-24,92166572;3,26648593
-24,91666572;4,19998741
-24,91166572;4,66596889
-24,90666572;4,66596889
-24,90166572;5,59947062
-24,89666572;6,06699038
-24,89166572;6,53297186
-24,88666572;7,46647358
-24,88166572;6,53297186
-24,87666572;7,46647358
-24,87166572;6,06699038
-24,86666572;5,59947062
-24,86166572;6,06699038
-24,85666572;5,59947062
-24,85166572;4,19998741
-24,84666572;5,13348866
-24,84166572;4,19998741
-24,83666572;5,13348866
-24,83166572;6,06699038
-24,82666572;5,59947062
-24,82166572;6,06699038
-24,81666572;7,46647358
-24,81166572;8,86749458
-24,80666572;9,33347607
-24,80166572;9,80099583
-24,79666572;10,26697731
-24,79166572;11,20047951
-24,78666572;9,80099583
-24,78166572;11,66799831
-24,77666572;12,13398075
-24,77166572;10,26697731
-24,76666572;11,66799831
-24,76166572;10,73449707
-24,75666572;10,73449707
-24,75166572;10,26697731
-24,74666572;9,33347607
-24,74166573;9,33347607
-24,73666573;8,86749458
-24,73166573;7,93399334
-24,72666573;7,46647358
-24,72166573;7,93399334
-24,71666573;7,46647358
-24,71166573;8,39997482
-24,70666573;7,93399334
-24,70166573;7,93399334
-24,69666573;7,00049162
-24,69166573;6,53297186
-24,68666573;6,53297186
-24,68166573;6,53297186
-24,67666573;6,53297186
-24,67166573;6,06699038
-24,66666573;4,66596889
-24,66166573;5,13348866
-24,65666573;4,19998741
-24,65166573;4,66596889
-24,64666573;4,19998741
-24,64166573;3,73246789
-24,63666573;3,26648593
-24,63166573;3,26648593
-24,62666573;4,66596889
