Zeit;Kanal A
(ms);(mV)

-25,00678477;0,00000000
-25,00178477;0,46598175
-24,99678477;-0,46598175
-24,99178477;0,93196350
-24,98678477;-0,46598175
-24,98178477;-0,46598175
-24,97678477;0,00000000
-24,97178477;0,00000000
-24,96678477;0,46598175
-24,96178477;1,39948320
-24,95678477;-0,93196350
-24,95178477;0,93196350
-24,94678477;-0,93196350
-24,94178477;0,00000000
-24,93678477;0,46598175
-24,93178477;-0,93196350
-24,92678477;-0,93196350
-24,92178477;0,93196350
-24,91678477;0,00000000
-24,91178477;-0,46598175
-24,90678477;0,46598175
-24,90178477;0,00000000
-24,89678477;0,00000000
-24,89178477;0,00000000
-24,88678477;-0,46598175
-24,88178477;0,00000000
-24,87678477;0,46598175
-24,87178477;0,00000000
-24,86678477;-0,93196350
-24,86178477;0,46598175
-24,85678477;0,00000000
-24,85178477;0,00000000
-24,84678477;0,00000000
-24,84178477;0,00000000
-24,83678477;-1,86546493
-24,83178477;-0,46598175
-24,82678477;0,00000000
-24,82178477;-0,46598175
-24,81678477;0,46598175
-24,81178477;-0,46598175
-24,80678477;-0,93196350
-24,80178477;0,00000000
-24,79678477;-0,46598175
-24,79178477;0,46598175
-24,78678477;0,46598175
-24,78178477;0,00000000
-24,77678477;0,00000000
-24,77178477;0,93196350
-24,76678477;0,46598175
-24,76178477;0,00000000
-24,75678477;0,00000000
-24,75178477;-0,93196350
-24,74678477;1,86546493
-24,74178477;0,46598175
-24,73678477;0,46598175
-24,73178477;-1,39948320
-24,72678477;0,00000000
-24,72178477;0,00000000
-24,71678477;0,00000000
-24,71178477;0,46598175
-24,70678477;0,46598175
-24,70178477;-0,46598175
-24,69678477;-0,46598175
-24,69178477;0,46598175
-24,68678477;0,93196350
-24,68178477;0,00000000
-24,67678477;0,93196350
-24,67178477;-0,46598175
-24,66678477;1,86546493
-24,66178477;0,46598175
-24,65678477;0,46598175
-24,65178477;0,00000000
-24,64678478;0,46598175
-24,64178478;0,46598175
-24,63678478;0,00000000
-24,63178478;-0,46598175
