Zeit;Kanal A
(ms);(mV)

-25,00999905;-4,19998741
-25,00499905;-3,26648593
-24,99999905;-3,26648593
-24,99499905;-3,73246789
-24,98999905;-3,26648593
-24,98499905;-1,86546493
-24,97999905;-3,26648593
-24,97499905;-3,73246789
-24,96999905;-2,79896641
-24,96499905;-3,26648593
-24,95999905;-3,26648593
-24,95499905;-4,19998741
-24,94999905;-4,19998741
-24,94499905;-3,73246789
-24,93999905;-4,19998741
-24,93499905;-4,66596889
-24,92999905;-4,19998741
-24,92499905;-5,13348866
-24,91999905;-5,59947062
-24,91499905;-5,59947062
-24,90999905;-5,13348866
-24,90499905;-7,00049162
-24,89999905;-6,06699038
-24,89499905;-4,66596889
-24,88999905;-4,19998741
-24,88499905;-4,66596889
-24,87999905;-5,13348866
-24,87499906;-4,19998741
-24,86999906;-5,13348866
-24,86499906;-3,73246789
-24,85999906;-3,26648593
-24,85499906;-3,73246789
-24,84999906;-3,73246789
-24,84499906;-2,79896641
-24,83999906;-3,26648593
-24,83499906;-3,26648593
-24,82999906;-2,79896641
-24,82499906;-2,33298445
-24,81999906;-1,86546493
-24,81499906;-1,39948320
-24,80999906;0,00000000
-24,80499906;0,93196350
-24,79999906;0,93196350
-24,79499906;2,33298445
-24,78999906;2,79896641
-24,78499906;3,26648593
-24,77999906;3,73246789
-24,77499906;4,66596889
-24,76999906;5,13348866
-24,76499906;4,19998741
-24,75999906;4,66596889
-24,75499906;5,13348866
-24,74999906;4,66596889
-24,74499906;4,19998741
-24,73999906;4,19998741
-24,73499906;4,66596889
-24,72999906;2,79896641
-24,72499906;2,79896641
-24,71999906;2,33298445
-24,71499906;1,86546493
-24,70999906;1,39948320
-24,70499906;1,39948320
-24,69999906;0,93196350
-24,69499906;1,39948320
-24,68999906;1,86546493
-24,68499906;1,39948320
-24,67999906;1,39948320
-24,67499906;0,93196350
-24,66999906;1,86546493
-24,66499906;1,39948320
-24,65999906;2,79896641
-24,65499906;2,79896641
-24,64999906;3,26648593
-24,64499906;3,26648593
