Zeit;Kanal A
(ms);(mV)

-25,00580550;0,93196350
-25,00080550;-0,46598175
-24,99580550;0,46598175
-24,99080550;0,46598175
-24,98580550;0,00000000
-24,98080550;0,46598175
-24,97580550;0,46598175
-24,97080550;0,46598175
-24,96580550;0,00000000
-24,96080550;1,39948320
-24,95580550;0,46598175
-24,95080550;0,00000000
-24,94580550;1,39948320
-24,94080550;0,00000000
-24,93580551;0,00000000
-24,93080551;-0,46598175
-24,92580551;-0,46598175
-24,92080551;-0,46598175
-24,91580551;0,00000000
-24,91080551;0,00000000
-24,90580551;0,46598175
-24,90080551;0,00000000
-24,89580551;0,00000000
-24,89080551;0,00000000
-24,88580551;0,46598175
-24,88080551;0,00000000
-24,87580551;0,46598175
-24,87080551;-0,93196350
-24,86580551;0,46598175
-24,86080551;0,00000000
-24,85580551;-0,46598175
-24,85080551;0,00000000
-24,84580551;0,46598175
-24,84080551;0,00000000
-24,83580551;0,00000000
-24,83080551;0,93196350
-24,82580551;0,93196350
-24,82080551;0,46598175
-24,81580551;0,00000000
-24,81080551;0,00000000
-24,80580551;0,46598175
-24,80080551;-0,46598175
-24,79580551;0,00000000
-24,79080551;0,00000000
-24,78580551;0,00000000
-24,78080551;0,46598175
-24,77580551;-0,93196350
-24,77080551;-0,46598175
-24,76580551;0,00000000
-24,76080551;1,39948320
-24,75580551;-1,39948320
-24,75080551;-0,93196350
-24,74580551;0,00000000
-24,74080551;0,46598175
-24,73580551;0,46598175
-24,73080551;0,46598175
-24,72580551;0,00000000
-24,72080551;0,00000000
-24,71580551;0,46598175
-24,71080551;0,00000000
-24,70580551;-0,93196350
-24,70080551;-1,39948320
-24,69580551;1,39948320
-24,69080551;0,00000000
-24,68580551;0,46598175
-24,68080551;0,00000000
-24,67580551;0,00000000
-24,67080551;0,00000000
-24,66580551;-0,46598175
-24,66080551;0,00000000
-24,65580551;0,00000000
-24,65080551;0,00000000
-24,64580551;0,46598175
-24,64080551;0,93196350
-24,63580551;0,93196350
-24,63080551;0,00000000
