Zeit;Kanal A
(ms);(mV)

-25,00708239;0,00000000
-25,00208239;1,86546493
-24,99708239;0,46598175
-24,99208239;-0,46598175
-24,98708239;0,00000000
-24,98208239;0,46598175
-24,97708239;-0,46598175
-24,97208239;0,00000000
-24,96708239;0,00000000
-24,96208239;0,00000000
-24,95708239;0,00000000
-24,95208239;0,00000000
-24,94708239;0,93196350
-24,94208239;-0,46598175
-24,93708239;0,46598175
-24,93208239;-0,93196350
-24,92708239;-1,39948320
-24,92208239;0,46598175
-24,91708239;0,46598175
-24,91208239;0,00000000
-24,90708239;0,00000000
-24,90208239;0,46598175
-24,89708239;0,46598175
-24,89208239;0,00000000
-24,88708239;0,46598175
-24,88208239;0,00000000
-24,87708239;0,46598175
-24,87208239;0,46598175
-24,86708239;0,00000000
-24,86208239;-0,93196350
-24,85708239;-0,93196350
-24,85208239;0,00000000
-24,84708239;-0,46598175
-24,84208239;0,46598175
-24,83708239;0,00000000
-24,83208239;0,46598175
-24,82708239;0,00000000
-24,82208239;2,79896641
-24,81708239;0,00000000
-24,81208239;0,46598175
-24,80708239;-0,46598175
-24,80208239;0,46598175
-24,79708239;0,93196350
-24,79208239;0,00000000
-24,78708239;0,00000000
-24,78208239;0,46598175
-24,77708239;-0,46598175
-24,77208239;-0,46598175
-24,76708239;-0,46598175
-24,76208239;0,00000000
-24,75708239;0,46598175
-24,75208239;0,93196350
-24,74708239;-0,46598175
-24,74208239;-1,39948320
-24,73708239;-0,46598175
-24,73208239;0,00000000
-24,72708239;-0,93196350
-24,72208239;0,00000000
-24,71708239;0,46598175
-24,71208239;0,00000000
-24,70708239;0,46598175
-24,70208239;0,93196350
-24,69708239;-1,39948320
-24,69208239;0,00000000
-24,68708239;0,00000000
-24,68208239;-1,86546493
-24,67708239;-0,46598175
-24,67208239;0,00000000
-24,66708239;0,46598175
-24,66208239;0,00000000
-24,65708239;-0,93196350
-24,65208239;0,46598175
-24,64708239;0,00000000
-24,64208239;0,00000000
-24,63708239;0,00000000
-24,63208239;0,46598175
