Zeit;Kanal A
(ms);(mV)

-25,00561921;0,18639271
-25,00061921;0,37278542
-24,99561921;0,00000000
-24,99061921;-0,37278542
-24,98561921;0,18639271
-24,98061921;0,00000000
-24,97561921;0,18639271
-24,97061921;0,18639271
-24,96561921;0,18639271
-24,96061921;0,00000000
-24,95561921;0,00000000
-24,95061921;0,00000000
-24,94561921;0,37278542
-24,94061921;0,00000000
-24,93561921;0,00000000
-24,93061921;0,00000000
-24,92561921;0,00000000
-24,92061921;0,00000000
-24,91561921;0,18639271
-24,91061921;0,00000000
-24,90561921;0,37278542
-24,90061921;0,00000000
-24,89561921;0,00000000
-24,89061921;-0,37278542
-24,88561921;0,37278542
-24,88061921;-0,55979329
-24,87561921;0,00000000
-24,87061921;0,55979329
-24,86561921;-0,37278542
-24,86061921;1,11958659
-24,85561921;0,00000000
-24,85061921;-0,37278542
-24,84561921;1,49298716
-24,84061921;0,00000000
-24,83561921;0,18639271
-24,83061921;-0,37278542
-24,82561921;-0,18639271
-24,82061921;-0,37278542
-24,81561921;0,74618596
-24,81061921;0,18639271
-24,80561921;-0,74618596
-24,80061921;-0,37278542
-24,79561921;0,00000000
-24,79061921;0,55979329
-24,78561921;0,00000000
-24,78061921;0,00000000
-24,77561921;0,55979329
-24,77061921;0,18639271
-24,76561921;0,00000000
-24,76061921;-2,05339551
-24,75561921;0,55979329
-24,75061921;0,00000000
-24,74561921;0,93319386
-24,74061921;0,74618596
-24,73561921;0,18639271
-24,73061921;0,55979329
-24,72561921;0,93319386
-24,72061921;-0,55979329
-24,71561921;0,00000000
-24,71061921;-0,18639271
-24,70561921;0,00000000
-24,70061921;-0,37278542
-24,69561921;0,55979329
-24,69061921;0,55979329
-24,68561921;1,11958659
-24,68061921;-0,74618596
-24,67561922;-1,30659437
-24,67061922;-0,18639271
-24,66561922;0,55979329
-24,66061922;-0,18639271
-24,65561922;0,37278542
-24,65061922;0,18639271
-24,64561922;0,55979329
-24,64061922;0,00000000
-24,63561922;0,55979329
-24,63061922;-0,55979329
