Zeit;Kanal A
(ms);(mV)

-23,87499908;-1,86546493
-23,86999908;-2,33298445
-23,86499908;0,00000000
-23,85999908;-0,93196350
-23,85499908;-1,39948320
-23,84999908;-0,46598175
-23,84499908;0,00000000
-23,83999908;-0,93196350
-23,83499908;0,00000000
-23,82999908;0,93196350
-23,82499908;0,93196350
-23,81999908;0,46598175
-23,81499908;1,39948320
-23,80999908;1,39948320
-23,80499908;0,46598175
-23,79999908;1,86546493
-23,79499908;1,86546493
-23,78999908;1,39948320
-23,78499908;0,46598175
-23,77999908;2,33298445
-23,77499908;0,00000000
-23,76999908;0,93196350
-23,76499908;0,93196350
-23,75999908;0,46598175
-23,75499908;-2,33298445
-23,74999908;0,00000000
-23,74499908;0,46598175
-23,73999908;0,00000000
-23,73499908;0,00000000
-23,72999908;-0,93196350
-23,72499908;-1,86546493
-23,71999908;-0,93196350
-23,71499908;-1,86546493
-23,70999908;-1,86546493
-23,70499908;-1,39948320
-23,69999908;-1,86546493
-23,69499908;-2,33298445
-23,68999909;-2,33298445
-23,68499909;-1,39948320
-23,67999909;-2,79896641
-23,67499909;-2,33298445
-23,66999909;-1,86546493
-23,66499909;-1,86546493
-23,65999909;-1,86546493
-23,65499909;-1,39948320
-23,64999909;0,00000000
-23,64499909;-0,93196350
-23,63999909;-0,93196350
-23,63499909;-0,93196350
-23,62999909;0,00000000
-23,62499909;0,00000000
-23,61999909;0,93196350
-23,61499909;0,00000000
-23,60999909;0,00000000
-23,60499909;0,46598175
-23,59999909;-0,93196350
-23,59499909;-0,46598175
-23,58999909;-0,46598175
-23,58499909;-1,39948320
-23,57999909;-1,39948320
-23,57499909;-1,39948320
-23,56999909;-1,86546493
-23,56499909;-1,39948320
-23,55999909;-1,39948320
-23,55499909;-1,39948320
-23,54999909;-1,39948320
-23,54499909;-1,86546493
-23,53999909;-1,86546493
-23,53499909;-1,39948320
-23,52999909;-1,39948320
-23,52499909;-0,46598175
-23,51999909;-1,39948320
-23,51499909;0,46598175
-23,50999909;-0,46598175
-23,50499909;-0,46598175
-23,49999909;0,00000000
-23,49499909;0,46598175
-23,48999909;0,46598175
-23,48499909;-0,46598175
-23,47999909;0,00000000
-23,47499909;0,93196350
-23,46999909;-0,93196350
-23,46499909;0,46598175
-23,45999909;-0,46598175
-23,45499909;0,00000000
-23,44999909;0,46598175
-23,44499909;0,46598175
-23,43999909;-0,46598175
-23,43499909;-0,46598175
-23,42999909;-0,93196350
-23,42499909;-0,93196350
-23,41999909;-0,93196350
-23,41499909;-0,46598175
-23,40999909;-0,46598175
-23,40499909;0,46598175
-23,39999909;0,46598175
-23,39499909;0,46598175
-23,38999909;0,46598175
-23,38499909;0,93196350
-23,37999909;1,86546493
-23,37499909;0,46598175
-23,36999909;1,86546493
-23,36499909;0,93196350
-23,35999909;1,86546493
-23,35499909;0,93196350
-23,34999909;2,33298445
-23,34499909;0,93196350
-23,33999909;0,93196350
-23,33499909;0,93196350
-23,32999909;0,93196350
-23,32499909;0,93196350
-23,31999909;0,93196350
-23,31499909;0,00000000
-23,30999909;0,46598175
-23,30499909;0,46598175
-23,29999909;0,46598175
-23,29499910;0,00000000
-23,28999910;0,00000000
-23,28499910;0,46598175
-23,27999910;0,00000000
-23,27499910;-0,46598175
-23,26999910;0,00000000
-23,26499910;0,93196350
-23,25999910;0,93196350
-23,25499910;0,00000000
-23,24999910;-1,39948320
-23,24499910;0,00000000
-23,23999910;0,00000000
-23,23499910;-0,93196350
-23,22999910;0,46598175
-23,22499910;-1,39948320
-23,21999910;0,00000000
-23,21499910;-0,46598175
-23,20999910;0,46598175
-23,20499910;0,46598175
-23,19999910;0,46598175
-23,19499910;0,46598175
-23,18999910;0,00000000
-23,18499910;0,46598175
-23,17999910;1,39948320
-23,17499910;0,46598175
-23,16999910;0,00000000
-23,16499910;-0,93196350
-23,15999910;0,00000000
-23,15499910;-0,46598175
-23,14999910;-1,39948320
-23,14499910;-1,39948320
-23,13999910;-1,39948320
-23,13499910;-1,39948320
-23,12999910;-1,39948320
-23,12499910;-2,79896641
-23,11999910;-2,33298445
-23,11499910;-2,79896641
-23,10999910;-2,79896641
-23,10499910;-1,39948320
-23,09999910;-3,26648593
-23,09499910;-3,26648593
-23,08999910;-3,73246789
-23,08499910;-2,79896641
-23,07999910;-3,26648593
-23,07499910;-3,73246789
-23,06999910;-3,73246789
-23,06499910;-3,73246789
-23,05999910;-3,73246789
-23,05499910;-4,19998741
-23,04999910;-4,19998741
-23,04499910;-5,13348866
-23,03999910;-6,06699038
-23,03499910;-6,06699038
-23,02999910;-6,53297186
-23,02499910;-7,00049162
-23,01999910;-7,93399334
-23,01499910;-7,46647358
-23,00999910;-7,93399334
-23,00499910;-7,00049162
-22,99999910;-7,00049162
-22,99499910;-6,06699038
-22,98999910;-4,19998741
-22,98499910;-3,73246789
-22,97999910;-1,86546493
-22,97499910;-1,39948320
-22,96999910;0,93196350
-22,96499910;1,39948320
-22,95999910;2,33298445
-22,95499910;2,33298445
-22,94999910;3,26648593
-22,94499910;2,33298445
-22,93999910;1,39948320
-22,93499910;0,93196350
-22,92999910;0,93196350
-22,92499910;0,00000000
-22,91999910;-0,46598175
-22,91499910;-0,93196350
-22,90999910;-0,93196350
-22,90499910;-1,86546493
-22,89999910;-0,93196350
-22,89499911;-1,39948320
-22,88999911;-0,93196350
-22,88499911;-0,93196350
-22,87999911;0,93196350
-22,87499911;0,46598175
-22,86999911;1,86546493
-22,86499911;1,86546493
-22,85999911;2,33298445
-22,85499911;2,79896641
-22,84999911;2,33298445
-22,84499911;2,79896641
-22,83999911;3,73246789
-22,83499911;2,79896641
-22,82999911;3,73246789
-22,82499911;3,26648593
-22,81999911;4,66596889
-22,81499911;3,73246789
-22,80999911;3,26648593
-22,80499911;3,26648593
-22,79999911;3,26648593
-22,79499911;2,79896641
-22,78999911;2,79896641
-22,78499911;4,66596889
-22,77999911;1,86546493
-22,77499911;0,93196350
-22,76999911;0,93196350
-22,76499911;0,46598175
-22,75999911;0,46598175
-22,75499911;-0,93196350
-22,74999911;-0,46598175
-22,74499911;-0,93196350
-22,73999911;-0,93196350
-22,73499911;0,00000000
-22,72999911;-0,46598175
-22,72499911;0,93196350
-22,71999911;1,39948320
-22,71499911;1,86546493
-22,70999911;3,26648593
-22,70499911;3,26648593
-22,69999911;3,26648593
-22,69499911;4,19998741
-22,68999911;4,66596889
-22,68499911;4,19998741
-22,67999911;3,73246789
-22,67499911;4,66596889
-22,66999911;5,59947062
-22,66499911;4,19998741
-22,65999911;4,66596889
-22,65499911;3,73246789
-22,64999911;5,13348866
-22,64499911;4,66596889
-22,63999911;3,73246789
-22,63499911;3,26648593
-22,62999911;3,73246789
-22,62499911;3,26648593
-22,61999911;4,19998741
-22,61499911;3,73246789
-22,60999911;4,19998741
-22,60499911;3,73246789
-22,59999911;3,73246789
-22,59499911;4,19998741
-22,58999911;4,19998741
-22,58499911;3,73246789
-22,57999911;4,66596889
-22,57499911;4,19998741
-22,56999911;3,73246789
-22,56499911;3,73246789
-22,55999911;3,73246789
-22,55499911;2,79896641
-22,54999911;2,33298445
-22,54499911;1,86546493
-22,53999911;1,86546493
-22,53499911;1,39948320
-22,52999911;1,86546493
-22,52499911;2,33298445
-22,51999911;1,86546493
-22,51499911;3,26648593
-22,50999911;4,66596889
-22,50499911;4,19998741
-22,49999912;5,13348866
-22,49499912;5,59947062
-22,48999912;5,59947062
-22,48499912;5,59947062
-22,47999912;5,59947062
-22,47499912;5,59947062
-22,46999912;5,59947062
-22,46499912;5,13348866
-22,45999912;4,19998741
-22,45499912;3,26648593
-22,44999912;2,79896641
-22,44499912;3,26648593
-22,43999912;1,86546493
-22,43499912;0,93196350
-22,42999912;0,46598175
-22,42499912;0,46598175
-22,41999912;0,93196350
-22,41499912;1,39948320
-22,40999912;1,39948320
-22,40499912;-11,66799831
-22,39999912;1,86546493
-22,39499912;1,86546493
-22,38999912;1,39948320
-22,38499912;1,39948320
-22,37999912;2,33298445
-22,37499912;1,86546493
-22,36999912;1,39948320
-22,36499912;1,39948320
-22,35999912;0,93196350
-22,35499912;-0,46598175
-22,34999912;-0,46598175
-22,34499912;-2,33298445
-22,33999912;-2,33298445
-22,33499912;-2,79896641
-22,32999912;-1,86546493
