Zeit;Kanal A
(ms);(mV)

-25,00857048;0,46598175
-25,00357048;-0,93196350
-24,99857048;0,00000000
-24,99357048;-0,46598175
-24,98857048;-0,46598175
-24,98357048;0,00000000
-24,97857048;0,00000000
-24,97357048;0,46598175
-24,96857048;0,00000000
-24,96357048;0,46598175
-24,95857048;0,00000000
-24,95357048;0,46598175
-24,94857048;0,00000000
-24,94357048;0,00000000
-24,93857048;-0,46598175
-24,93357048;0,00000000
-24,92857048;-1,86546493
-24,92357048;0,46598175
-24,91857048;0,46598175
-24,91357048;-0,93196350
-24,90857048;0,46598175
-24,90357048;0,00000000
-24,89857048;0,46598175
-24,89357048;0,00000000
-24,88857048;0,46598175
-24,88357048;0,46598175
-24,87857048;-0,93196350
-24,87357048;0,46598175
-24,86857048;0,46598175
-24,86357048;0,00000000
-24,85857048;0,00000000
-24,85357048;0,93196350
-24,84857048;0,46598175
-24,84357048;-0,46598175
-24,83857048;0,46598175
-24,83357048;0,46598175
-24,82857048;-0,46598175
-24,82357048;0,00000000
-24,81857049;0,00000000
-24,81357049;0,46598175
-24,80857049;0,00000000
-24,80357049;0,46598175
-24,79857049;-0,46598175
-24,79357049;0,00000000
-24,78857049;0,46598175
-24,78357049;0,93196350
-24,77857049;0,00000000
-24,77357049;0,00000000
-24,76857049;0,93196350
-24,76357049;0,46598175
-24,75857049;0,00000000
-24,75357049;0,46598175
-24,74857049;-0,46598175
-24,74357049;0,46598175
-24,73857049;-0,93196350
-24,73357049;0,46598175
-24,72857049;0,00000000
-24,72357049;0,93196350
-24,71857049;1,39948320
-24,71357049;0,46598175
-24,70857049;0,46598175
-24,70357049;0,93196350
-24,69857049;0,46598175
-24,69357049;0,00000000
-24,68857049;0,46598175
-24,68357049;0,46598175
-24,67857049;0,00000000
-24,67357049;0,46598175
-24,66857049;-0,46598175
-24,66357049;0,46598175
-24,65857049;-0,46598175
-24,65357049;0,00000000
-24,64857049;0,93196350
-24,64357049;0,93196350
-24,63857049;0,46598175
-24,63357049;0,46598175
