Zeit;Kanal A
(ms);(mV)

-25,00999905;-3,26648593
-25,00499905;-3,73246789
-24,99999905;-5,13348866
-24,99499905;-4,66596889
-24,98999905;-4,66596889
-24,98499905;-5,13348866
-24,97999905;-4,66596889
-24,97499905;-4,66596889
-24,96999905;-4,66596889
-24,96499905;-6,06699038
-24,95999905;-6,06699038
-24,95499905;-6,06699038
-24,94999905;-6,53297186
-24,94499905;-6,53297186
-24,93999905;-6,06699038
-24,93499905;-7,00049162
-24,92999905;-7,00049162
-24,92499905;-7,46647358
-24,91999905;-6,53297186
-24,91499905;-7,46647358
-24,90999905;-7,46647358
-24,90499905;-6,53297186
-24,89999905;-6,53297186
-24,89499905;-6,06699038
-24,88999905;-6,53297186
-24,88499905;-6,06699038
-24,87999905;-6,06699038
-24,87499906;-6,06699038
-24,86999906;-6,06699038
-24,86499906;-5,13348866
-24,85999906;-5,59947062
-24,85499906;-6,06699038
-24,84999906;-5,59947062
-24,84499906;-5,59947062
-24,83999906;-4,66596889
-24,83499906;-6,06699038
-24,82999906;-6,06699038
-24,82499906;-6,53297186
-24,81999906;-6,53297186
-24,81499906;-5,59947062
-24,80999906;-6,06699038
-24,80499906;-6,53297186
-24,79999906;-5,59947062
-24,79499906;-7,00049162
-24,78999906;-5,59947062
-24,78499906;-6,06699038
-24,77999906;-5,59947062
-24,77499906;-6,06699038
-24,76999906;-5,59947062
-24,76499906;-5,59947062
-24,75999906;-4,66596889
-24,75499906;-5,59947062
-24,74999906;-4,19998741
-24,74499906;-5,13348866
-24,73999906;-5,13348866
-24,73499906;-5,13348866
-24,72999906;-3,73246789
-24,72499906;-5,13348866
-24,71999906;-5,59947062
-24,71499906;-5,13348866
-24,70999906;-3,26648593
-24,70499906;-5,13348866
-24,69999906;-5,13348866
-24,69499906;-5,13348866
-24,68999906;-5,13348866
-24,68499906;-5,59947062
-24,67999906;-6,53297186
-24,67499906;-5,13348866
-24,66999906;-6,06699038
-24,66499906;-6,06699038
-24,65999906;-7,00049162
-24,65499906;-7,46647358
